length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
1, 4, 0, 13.710, 2815.285, 29.202, 86.123, 12.299, 45.881, 30.977, 0.600, 25.260, 0.800, 1.382, 5.548, 0.500, 
2, 4, 0, 20.866, 5048.961, 38.373, 95.599, 15.188, 48.878, 39.686, 0.800, 28.447, 0.900, 1.801, 6.338, 0.600, 
3, 4, 0, 29.252, 4865.724, 120.963, 374.069, 19.479, 42.091, 90.715, 0.500, 31.497, 0.900, 1.741, 4.041, 0.200, 
4, 4, 0, 28.310, 7252.962, 39.938, 2195.585, 22.875, 49.737, 69.144, 0.300, 33.153, 0.800, 1.724, 3.616, 0.200, 
5, 4, 0, 35.159, 4603.214, 48.823, 362.156, 25.948, 59.317, 59.366, 0.800, 59.871, 0.700, 1.572, 5.408, 0.100, 
6, 4, 0, 29.318, 7831.510, 40.981, 375.669, 19.044, 70.294, 75.125, 0.700, 52.688, 0.500, 1.752, 3.411, 0.300, 
7, 4, 0, 27.917, 5328.417, 40.365, 1326.107, 21.374, 57.154, 67.139, 0.300, 54.864, 0.300, 1.705, 3.897, 0.200, 
8, 4, 0, 33.118, 2908.554, 33.341, 881.578, 20.740, 79.744, 52.760, 0.500, 63.724, 0.400, 1.519, 4.714, 0.100, 
9, 4, 0, 31.319, 3457.403, 30.234, 323.016, 19.917, 69.377, 79.799, 0.300, 50.619, 0.200, 1.484, 4.662, 0.000, 
10, 4, 0, 34.860, 3724.475, 32.711, 913.207, 21.846, 72.917, 106.117, 0.300, 63.824, 0.100, 1.542, 3.131, 0.000, 

