length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
1, 4, 0, 9.330, 3423.630, 11.268, 37.778, 5.993, 21.888, 27.359, 0.000, 20.640, 1.000, 0.725, 10.240, 0.000, 
1, 4, 0, 8.767, 3613.378, 12.572, 37.512, 6.172, 22.038, 27.200, 1.000, 19.200, 0.000, 0.724, 9.760, 0.000, 
1, 4, 0, 11.263, 3431.478, 16.529, 38.114, 5.854, 21.964, 28.000, 0.000, 20.319, 0.000, 0.769, 10.080, 0.000, 
1, 4, 0, 8.602, 3337.745, 10.786, 25.270, 6.250, 33.458, 20.000, 1.000, 20.160, 0.000, 0.574, 8.480, 0.000, 
1, 4, 0, 8.243, 3351.721, 11.998, 25.857, 4.734, 21.461, 22.080, 1.000, 20.480, 0.000, 0.642, 9.600, 0.000, 
1, 4, 0, 8.197, 3334.723, 9.989, 36.603, 4.870, 22.727, 20.320, 1.000, 20.160, 0.000, 0.646, 8.320, 0.000, 
1, 4, 0, 8.201, 3402.721, 9.385, 25.347, 4.719, 21.574, 20.640, 1.000, 21.119, 0.000, 0.623, 8.640, 0.000, 
1, 4, 0, 8.416, 3365.192, 10.288, 37.275, 5.271, 22.653, 29.280, 0.000, 21.759, 0.000, 0.494, 9.280, 0.000, 
1, 4, 0, 8.662, 3318.599, 9.592, 24.581, 5.055, 21.486, 21.120, 1.000, 20.480, 0.000, 0.623, 9.120, 0.000, 
1, 4, 0, 8.664, 3326.708, 9.590, 35.956, 4.832, 22.109, 27.040, 0.000, 20.320, 0.000, 0.617, 8.640, 0.000, 
2, 4, 0, 11.687, 3333.352, 10.595, 26.146, 5.093, 24.157, 22.080, 1.000, 24.000, 0.000, 0.772, 8.160, 0.000, 
2, 4, 0, 12.649, 3336.454, 10.608, 26.641, 4.288, 23.492, 30.240, 0.000, 22.240, 0.000, 0.675, 8.800, 0.000, 
2, 4, 0, 11.729, 3341.054, 9.827, 38.984, 4.998, 23.546, 23.200, 1.000, 21.760, 0.000, 0.551, 8.800, 0.000, 
2, 4, 0, 11.781, 3333.440, 10.360, 26.628, 5.008, 23.164, 22.400, 0.000, 21.120, 0.000, 0.495, 8.320, 0.000, 
2, 4, 0, 11.508, 3421.753, 10.160, 39.441, 4.865, 24.373, 30.080, 0.000, 22.080, 0.000, 0.624, 8.640, 0.000, 
2, 4, 0, 12.043, 3357.632, 11.698, 26.577, 4.960, 22.925, 22.720, 1.000, 21.760, 0.000, 0.598, 8.960, 0.000, 
