length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
1, 1, 0, 3.608, 12.753, 2.245, 15.721, 2.296, 11.031, 9.600, 0.000, 8.960, 0.000, 0.236, 18.880, 0.000, 
1, 1, 0, 2.097, 13.381, 2.385, 15.721, 3.120, 12.294, 10.080, 0.000, 9.280, 0.000, 0.114, 18.880, 0.000, 
1, 1, 0, 1.700, 11.854, 2.363, 15.640, 3.516, 12.434, 9.600, 0.000, 8.960, 0.000, 0.114, 18.560, 0.000, 
1, 1, 0, 1.709, 11.154, 1.593, 15.609, 1.810, 11.883, 10.080, 0.000, 9.280, 0.000, 0.126, 18.880, 0.000, 
1, 1, 0, 1.706, 11.681, 1.501, 15.473, 1.862, 11.667, 9.440, 0.000, 9.439, 0.000, 0.119, 18.560, 0.000, 
1, 1, 0, 1.669, 11.088, 1.548, 15.732, 2.063, 11.692, 9.920, 0.000, 9.440, 0.000, 0.150, 18.880, 0.000, 
1, 1, 0, 1.950, 12.156, 1.371, 15.432, 1.602, 11.411, 9.280, 0.000, 9.120, 0.000, 0.105, 18.720, 0.000, 
1, 1, 0, 1.791, 11.049, 1.380, 15.493, 1.695, 11.651, 9.760, 0.000, 9.600, 0.000, 0.106, 19.520, 0.000, 
1, 1, 0, 1.924, 11.765, 1.465, 15.418, 1.784, 11.562, 9.600, 0.000, 8.800, 0.000, 0.114, 19.840, 0.000, 
1, 1, 0, 1.682, 10.860, 1.509, 15.844, 1.902, 11.869, 10.080, 0.000, 9.440, 0.000, 0.115, 20.160, 0.000, 
2, 1, 0, 2.447, 15.849, 1.755, 16.646, 1.979, 13.166, 11.040, 0.000, 10.240, 0.000, 0.106, 18.880, 0.000, 
2, 1, 0, 2.408, 11.563, 1.518, 16.553, 1.868, 12.850, 10.880, 0.000, 10.080, 0.000, 0.125, 18.720, 0.000, 
2, 1, 0, 2.218, 11.686, 1.606, 16.474, 1.676, 12.691, 10.880, 0.000, 10.240, 0.000, 0.140, 19.360, 0.000, 
2, 1, 0, 2.101, 11.586, 1.322, 16.780, 1.678, 12.905, 10.880, 0.000, 10.400, 0.000, 0.127, 19.360, 0.000, 
2, 1, 0, 2.169, 12.062, 1.630, 16.678, 2.101, 13.109, 10.880, 0.000, 10.400, 0.000, 0.136, 19.040, 0.000, 
2, 1, 0, 2.234, 10.915, 1.865, 16.959, 2.029, 13.182, 10.720, 0.000, 10.400, 0.000, 0.132, 19.360, 0.000, 
2, 1, 0, 2.102, 11.927, 1.486, 16.616, 1.784, 13.714, 11.040, 0.000, 10.400, 0.000, 0.123, 19.040, 0.000, 
2, 1, 0, 2.042, 12.016, 1.481, 16.530, 1.685, 12.694, 10.880, 0.000, 10.400, 0.000, 0.129, 20.160, 0.000, 
2, 1, 0, 2.339, 12.667, 1.561, 16.725, 1.887, 12.516, 10.880, 0.000, 10.560, 0.000, 0.139, 21.120, 0.000, 
2, 1, 0, 2.342, 11.383, 1.438, 16.589, 4.935, 15.874, 10.720, 0.000, 10.400, 0.000, 0.131, 19.200, 0.000, 
3, 1, 0, 2.980, 14.210, 1.945, 18.344, 2.031, 14.112, 12.160, 0.000, 11.840, 0.000, 0.120, 19.520, 0.000, 
3, 1, 0, 2.833, 11.643, 1.431, 18.149, 2.361, 14.546, 12.320, 0.000, 11.520, 0.000, 0.132, 18.880, 0.000, 
3, 1, 0, 2.701, 15.291, 1.441, 18.070, 2.030, 14.351, 12.160, 0.000, 11.680, 0.000, 0.124, 19.840, 0.000, 
3, 1, 0, 2.845, 12.349, 1.309, 18.054, 1.836, 14.217, 12.320, 0.000, 11.680, 0.000, 0.118, 19.040, 0.000, 
3, 1, 0, 2.657, 12.782, 1.289, 18.094, 1.936, 14.495, 12.160, 0.000, 11.680, 0.000, 0.139, 18.560, 0.000, 
