length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
1, 4, 0, 10.480, 1576.855, 18.595, 60.033, 7.794, 17.843, 13.946, 1.000, 15.950, 1.000, 1.062, 4.088, 0.000, 
1, 4, 0, 10.179, 1413.909, 27.812, 43.852, 8.446, 18.254, 14.507, 1.000, 16.752, 1.000, 0.551, 10.099, 0.000, 
1, 4, 0, 6.602, 1439.508, 11.572, 27.722, 8.516, 31.960, 23.164, 1.000, 21.561, 1.000, 0.301, 2.605, 1.000, 
1, 4, 0, 5.240, 1426.382, 21.570, 37.250, 7.734, 22.071, 14.787, 1.000, 15.309, 0.000, 0.601, 3.567, 0.000, 
1, 4, 0, 5.531, 1457.671, 11.391, 22.893, 7.324, 33.283, 24.246, 1.000, 17.553, 1.000, 0.371, 6.452, 1.000, 
1, 4, 0, 5.451, 1388.982, 13.034, 24.866, 7.805, 18.024, 30.458, 1.000, 14.067, 0.000, 0.321, 3.006, 0.000, 
1, 4, 0, 5.450, 1391.897, 16.491, 30.778, 8.506, 19.848, 20.719, 1.000, 26.771, 1.000, 0.160, 6.492, 0.000, 
1, 4, 0, 4.248, 1644.102, 12.804, 22.883, 9.207, 19.216, 17.954, 0.000, 18.274, 1.000, 0.410, 11.902, 1.000, 
1, 4, 0, 5.000, 1668.397, 14.528, 70.172, 8.567, 20.599, 12.464, 1.000, 17.232, 0.000, 0.130, 11.542, 1.000, 
1, 4, 0, 4.358, 1553.121, 18.274, 26.309, 9.227, 20.308, 21.921, 1.000, 10.860, 1.000, 0.261, 2.765, 1.000, 
2, 4, 0, 5.901, 1471.608, 19.055, 45.004, 9.698, 21.190, 21.721, 1.000, 21.641, 1.000, 0.160, 10.420, 0.000, 
2, 4, 0, 6.071, 1438.094, 20.419, 32.121, 11.552, 27.371, 27.372, 1.000, 32.020, 1.000, 0.190, 3.166, 0.000, 
2, 4, 0, 4.819, 1406.094, 18.735, 29.295, 9.798, 24.586, 16.631, 1.000, 12.704, 0.000, 0.180, 2.846, 0.000, 
2, 4, 0, 5.370, 1447.752, 20.038, 44.935, 10.219, 21.310, 13.385, 1.000, 12.704, 1.000, 0.120, 4.448, 0.000, 
2, 4, 0, 6.402, 1415.382, 14.798, 29.255, 9.959, 34.264, 23.083, 1.000, 17.673, 0.000, 0.111, 2.765, 0.000, 
2, 4, 0, 5.310, 1441.842, 13.485, 41.077, 8.817, 20.889, 17.553, 1.000, 19.917, 0.000, 0.111, 5.650, 0.000, 
2, 4, 0, 5.119, 1444.497, 17.072, 27.361, 9.408, 23.044, 32.501, 1.000, 28.093, 1.000, 0.130, 2.725, 0.000, 
2, 4, 0, 5.490, 1452.391, 15.489, 36.439, 9.257, 22.001, 21.079, 1.000, 31.339, 0.000, 0.090, 4.769, 1.000, 
2, 4, 0, 6.873, 1511.722, 13.015, 33.373, 9.949, 34.605, 24.886, 1.000, 12.864, 1.000, 0.121, 2.846, 0.000, 
2, 4, 0, 5.310, 1436.021, 21.580, 42.910, 9.358, 22.042, 17.954, 1.000, 20.959, 1.000, 0.230, 7.214, 0.000, 
3, 4, 0, 8.165, 1490.763, 18.074, 35.507, 9.127, 36.158, 32.902, 1.000, 14.026, 0.000, 0.101, 3.606, 0.000, 
3, 4, 0, 6.251, 1452.011, 20.298, 35.116, 9.728, 41.568, 21.360, 1.000, 14.267, 0.000, 0.241, 2.925, 0.000, 
3, 4, 0, 6.122, 1437.884, 22.111, 34.785, 9.769, 40.366, 21.881, 1.000, 23.244, 1.000, 0.181, 2.685, 0.000, 
3, 4, 0, 7.274, 1577.837, 19.005, 40.426, 12.613, 45.826, 54.342, 1.000, 28.694, 0.000, 0.160, 11.341, 0.000, 
3, 4, 0, 6.662, 1465.736, 25.048, 46.318, 10.620, 38.231, 31.139, 1.000, 14.146, 0.000, 0.130, 2.966, 0.000, 
3, 4, 0, 6.613, 1578.839, 23.414, 47.178, 9.669, 24.697, 17.793, 1.000, 15.990, 1.000, 0.181, 12.103, 0.000, 
3, 4, 0, 11.401, 1571.676, 22.232, 46.467, 9.158, 24.687, 28.253, 1.000, 20.478, 0.000, 0.111, 3.085, 0.000, 
3, 4, 0, 6.923, 1415.652, 20.699, 45.796, 8.015, 26.310, 21.040, 0.000, 27.852, 0.000, 0.160, 3.927, 0.000, 
3, 4, 0, 6.963, 1760.351, 16.932, 31.739, 10.390, 25.238, 24.567, 1.000, 14.107, 0.000, 0.100, 2.846, 0.000, 
3, 4, 0, 7.083, 1440.289, 16.862, 31.158, 8.837, 32.922, 22.483, 0.000, 21.159, 1.000, 0.130, 9.297, 0.000, 
4, 4, 0, 8.666, 1606.822, 19.015, 67.076, 10.450, 27.962, 27.932, 0.000, 26.089, 0.000, 0.141, 2.885, 0.000, 
4, 4, 0, 8.105, 1447.732, 19.607, 47.339, 11.372, 39.405, 17.072, 1.000, 16.151, 0.000, 0.121, 3.126, 0.000, 
4, 4, 0, 7.805, 1521.131, 20.097, 43.762, 9.919, 30.077, 23.484, 1.000, 16.031, 0.000, 1.463, 13.836, 1.000, 
4, 4, 0, 37.941, 2554.714, 30.017, 50.876, 13.445, 50.014, 40.917, 1.000, 26.049, 0.000, 1.152, 2.765, 0.000, 
4, 4, 0, 18.495, 2408.990, 23.013, 42.169, 12.694, 30.036, 24.085, 1.000, 34.145, 1.000, 1.052, 2.725, 0.000, 
4, 4, 0, 17.473, 1534.846, 18.956, 40.136, 10.930, 28.283, 29.655, 0.000, 16.070, 0.000, 1.022, 2.805, 0.000, 
4, 4, 0, 27.632, 1609.747, 19.727, 58.821, 10.991, 44.223, 28.694, 0.000, 21.921, 0.000, 0.301, 2.806, 0.000, 
