length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
1, 1, 0, 3.287, 82.545, 9.889, 18.374, 5.179, 13.445, 8.136, 0.000, 8.055, 0.000, 0.230, 10.820, 0.000, 
1, 1, 0, 2.515, 200.737, 45.115, 61.435, 9.659, 17.283, 8.335, 0.000, 8.737, 1.000, 0.842, 10.780, 1.000, 
1, 1, 0, 9.528, 24.546, 14.387, 41.718, 4.949, 12.494, 8.456, 0.000, 8.255, 0.000, 0.290, 11.502, 0.000, 
1, 1, 0, 2.264, 18.164, 10.289, 18.835, 4.689, 13.075, 9.017, 0.000, 8.496, 0.000, 0.101, 10.860, 0.000, 
1, 1, 0, 0.842, 9.648, 3.316, 13.135, 2.825, 10.469, 8.536, 0.000, 8.336, 0.000, 0.071, 11.141, 1.000, 
1, 1, 0, 0.942, 9.218, 3.356, 12.944, 6.793, 14.026, 9.178, 0.000, 8.656, 0.000, 0.060, 10.901, 0.000, 
1, 1, 0, 0.852, 9.768, 3.116, 12.894, 3.086, 25.659, 8.616, 0.000, 8.056, 0.000, 0.061, 10.500, 0.000, 
1, 1, 0, 0.932, 9.278, 3.246, 13.425, 3.056, 10.610, 8.696, 0.000, 8.937, 0.000, 0.060, 11.141, 0.000, 
1, 1, 0, 0.821, 9.869, 3.206, 12.944, 3.076, 10.630, 8.977, 0.000, 8.456, 0.000, 0.070, 10.780, 0.000, 
1, 1, 0, 0.932, 9.247, 3.507, 13.215, 2.715, 10.931, 8.496, 0.000, 8.295, 0.000, 0.060, 11.101, 0.000, 
2, 1, 0, 1.182, 11.572, 3.236, 14.728, 2.995, 12.122, 10.299, 0.000, 10.299, 0.000, 0.061, 10.700, 0.000, 
2, 1, 0, 1.383, 9.949, 3.516, 14.807, 3.347, 12.424, 10.059, 0.000, 10.219, 0.000, 0.060, 10.820, 0.000, 
2, 1, 0, 1.223, 9.758, 3.577, 15.309, 3.386, 12.293, 10.259, 0.000, 10.219, 0.000, 0.060, 10.660, 0.000, 
2, 1, 0, 1.012, 9.437, 3.327, 14.908, 2.945, 12.533, 10.219, 0.000, 10.019, 0.000, 0.060, 10.620, 0.000, 
2, 1, 0, 1.182, 9.377, 3.376, 14.477, 3.016, 12.624, 10.419, 0.000, 9.819, 0.000, 0.060, 10.660, 0.000, 
2, 1, 0, 1.052, 9.598, 3.397, 14.748, 3.146, 12.393, 10.540, 0.000, 10.139, 0.000, 0.061, 10.660, 0.000, 
2, 1, 0, 1.162, 15.379, 3.576, 14.517, 2.675, 12.193, 10.179, 0.000, 9.858, 0.000, 0.060, 10.580, 0.000, 
2, 1, 0, 1.072, 9.648, 3.096, 67.026, 2.936, 12.113, 10.340, 0.000, 10.019, 0.000, 0.080, 10.941, 0.000, 
2, 1, 0, 1.042, 9.588, 3.376, 14.938, 2.935, 12.524, 10.058, 0.000, 10.058, 0.000, 0.060, 10.820, 0.000, 
2, 1, 0, 1.333, 9.859, 3.606, 14.597, 3.286, 12.383, 10.339, 0.000, 10.139, 0.000, 0.060, 10.860, 0.000, 
3, 1, 0, 2.224, 10.690, 3.757, 16.632, 3.767, 14.317, 11.742, 0.000, 11.421, 0.000, 0.060, 10.579, 0.000, 
3, 1, 0, 2.044, 10.269, 3.697, 16.581, 3.366, 14.367, 11.823, 0.000, 11.541, 0.000, 0.060, 10.780, 0.000, 
3, 1, 0, 2.084, 9.919, 3.577, 16.461, 3.176, 13.896, 12.063, 0.000, 11.501, 0.000, 0.060, 11.141, 0.000, 
3, 1, 0, 2.094, 11.061, 3.867, 16.942, 3.136, 14.156, 12.103, 0.000, 11.702, 0.000, 0.080, 10.781, 0.000, 
3, 1, 0, 1.723, 18.726, 4.869, 16.160, 2.896, 21.961, 23.565, 0.000, 11.982, 0.000, 0.190, 10.740, 0.000, 
3, 1, 0, 2.374, 122.641, 4.398, 16.491, 3.276, 14.477, 12.143, 0.000, 11.622, 0.000, 0.060, 10.860, 0.000, 
3, 1, 0, 2.265, 10.059, 3.667, 16.110, 3.306, 14.077, 11.983, 0.000, 11.662, 0.000, 0.080, 10.781, 0.000, 
3, 1, 0, 2.294, 9.919, 3.647, 16.812, 3.106, 13.886, 12.303, 0.000, 11.702, 0.000, 0.060, 11.021, 0.000, 
3, 1, 0, 2.154, 9.708, 3.707, 16.862, 3.357, 14.117, 12.263, 0.000, 11.581, 0.000, 0.070, 11.302, 0.000, 
3, 1, 0, 2.004, 9.738, 3.778, 16.261, 3.376, 14.367, 12.103, 0.000, 11.822, 0.000, 0.080, 10.981, 0.000, 
4, 1, 0, 2.505, 11.061, 3.987, 18.284, 3.777, 16.020, 13.786, 0.000, 13.786, 0.000, 0.060, 11.141, 0.000, 
4, 1, 0, 2.104, 9.949, 3.918, 18.235, 3.676, 15.549, 13.867, 0.000, 13.425, 0.000, 0.060, 10.900, 0.000, 
4, 1, 0, 2.354, 10.480, 3.406, 24.196, 3.707, 15.960, 13.946, 0.000, 13.425, 0.000, 0.090, 11.221, 0.000, 
4, 1, 0, 2.284, 9.799, 3.817, 18.264, 3.527, 15.730, 13.746, 0.000, 13.426, 0.000, 0.060, 11.382, 0.000, 
4, 1, 0, 1.924, 10.089, 4.028, 18.495, 3.647, 15.629, 13.986, 0.000, 13.546, 0.000, 0.060, 11.061, 0.000, 
4, 1, 0, 1.943, 10.049, 3.818, 18.585, 3.577, 15.820, 13.906, 0.000, 13.545, 0.000, 0.061, 11.181, 0.000, 
4, 1, 0, 2.465, 11.622, 3.596, 37.821, 6.963, 19.887, 13.786, 0.000, 13.746, 0.000, 0.070, 11.181, 0.000, 
4, 1, 0, 2.365, 10.349, 3.517, 23.445, 3.536, 15.639, 13.946, 0.000, 13.705, 0.000, 0.060, 11.061, 0.000, 
4, 1, 0, 2.134, 9.899, 3.797, 18.144, 3.707, 15.609, 13.947, 0.000, 13.345, 0.000, 0.060, 10.780, 0.000, 
4, 1, 0, 2.124, 12.123, 3.817, 18.164, 3.607, 15.700, 13.866, 0.000, 13.385, 0.000, 0.060, 11.181, 0.000, 
5, 1, 0, 2.295, 11.892, 4.088, 19.757, 3.657, 17.954, 15.189, 0.000, 15.308, 0.000, 0.060, 10.901, 0.000, 
5, 1, 0, 2.174, 10.780, 3.857, 19.978, 3.707, 17.924, 15.309, 0.000, 14.948, 0.000, 0.060, 11.181, 0.000, 
5, 1, 0, 2.234, 11.272, 4.077, 19.727, 4.017, 17.202, 15.108, 0.000, 14.868, 0.000, 0.070, 10.980, 0.000, 
5, 1, 0, 2.865, 15.810, 4.418, 20.368, 3.968, 17.363, 15.309, 0.000, 14.908, 0.000, 0.120, 11.381, 0.000, 
5, 1, 0, 2.304, 15.700, 4.087, 20.178, 3.556, 17.122, 15.188, 0.000, 15.068, 0.000, 0.080, 11.221, 0.000, 
5, 1, 0, 2.194, 10.700, 4.288, 19.948, 3.957, 17.583, 15.189, 0.000, 15.509, 0.000, 0.080, 11.021, 0.000, 
5, 1, 0, 2.033, 10.279, 3.947, 19.977, 3.586, 17.122, 15.109, 0.000, 14.948, 0.000, 0.060, 11.461, 0.000, 
5, 1, 0, 2.224, 10.290, 3.827, 19.767, 3.797, 17.633, 15.509, 0.000, 14.988, 0.000, 0.060, 11.501, 0.000, 
5, 1, 0, 2.103, 10.449, 3.837, 19.928, 3.617, 17.402, 15.229, 0.000, 15.068, 0.000, 0.060, 11.181, 0.000, 
5, 1, 0, 2.315, 10.650, 4.017, 19.897, 3.707, 17.233, 15.389, 0.000, 15.188, 0.000, 0.060, 10.780, 0.000, 
6, 1, 0, 2.585, 11.592, 3.937, 22.212, 3.787, 19.086, 16.792, 0.000, 16.712, 0.000, 0.060, 10.941, 0.000, 
6, 1, 0, 2.535, 11.131, 3.607, 21.791, 3.717, 19.076, 16.832, 0.000, 16.712, 0.000, 0.060, 11.502, 0.000, 
6, 1, 0, 2.364, 11.242, 4.107, 21.680, 3.828, 19.237, 16.872, 0.000, 16.711, 0.000, 0.130, 11.461, 0.000, 
6, 1, 0, 2.825, 12.142, 4.138, 21.912, 3.747, 19.156, 17.192, 0.000, 16.752, 0.000, 0.100, 11.060, 0.000, 
6, 1, 0, 2.785, 12.253, 4.098, 21.461, 3.567, 19.256, 17.152, 0.000, 16.591, 0.000, 0.060, 11.061, 0.000, 
6, 1, 0, 2.605, 16.000, 11.011, 28.924, 3.426, 19.085, 17.032, 0.000, 17.393, 1.000, 0.070, 10.900, 0.000, 
6, 1, 0, 2.465, 11.973, 4.208, 21.811, 3.416, 19.156, 17.032, 0.000, 16.591, 0.000, 0.060, 10.780, 0.000, 
6, 1, 0, 2.465, 16.741, 10.660, 28.584, 3.397, 19.096, 16.752, 0.000, 16.711, 0.000, 0.080, 10.740, 0.000, 
6, 1, 0, 2.465, 11.812, 4.108, 22.212, 3.386, 19.086, 17.073, 0.000, 16.591, 0.000, 0.060, 10.700, 0.000, 
6, 1, 0, 2.385, 11.051, 3.567, 39.093, 12.183, 28.865, 17.192, 0.000, 16.832, 0.000, 0.061, 10.700, 0.000, 
7, 1, 0, 2.725, 13.355, 4.108, 23.234, 3.517, 20.448, 18.675, 0.000, 18.555, 0.000, 0.080, 10.900, 0.000, 
7, 1, 0, 2.615, 11.793, 3.937, 23.103, 3.927, 20.970, 18.555, 0.000, 18.475, 0.000, 0.080, 10.901, 0.000, 
7, 1, 0, 2.685, 11.421, 4.028, 23.544, 3.617, 21.110, 18.716, 0.000, 18.395, 0.000, 0.061, 11.141, 0.000, 
7, 1, 0, 2.535, 12.123, 4.008, 23.033, 3.677, 20.709, 18.835, 0.000, 18.675, 0.000, 0.060, 11.261, 0.000, 
7, 1, 0, 2.665, 11.562, 4.028, 23.244, 3.967, 20.729, 19.116, 0.000, 18.675, 0.000, 0.060, 10.941, 0.000, 
7, 1, 0, 2.655, 11.541, 3.938, 23.224, 3.958, 20.799, 19.076, 0.000, 18.194, 0.000, 0.060, 10.660, 0.000, 
7, 1, 0, 2.795, 11.522, 3.767, 23.154, 3.376, 21.240, 18.956, 0.000, 18.635, 0.000, 0.060, 10.820, 0.000, 
7, 1, 0, 2.534, 11.272, 4.197, 23.404, 3.747, 21.109, 18.835, 0.000, 18.595, 0.000, 0.080, 11.101, 0.000, 
7, 1, 0, 2.535, 11.963, 4.047, 23.594, 3.677, 21.030, 19.116, 0.000, 18.194, 0.000, 0.051, 11.181, 0.000, 
7, 1, 0, 2.435, 11.712, 4.308, 23.494, 3.807, 20.769, 18.636, 0.000, 18.355, 0.000, 0.060, 10.780, 0.000, 
8, 1, 0, 2.986, 15.880, 4.308, 24.917, 3.947, 22.332, 20.518, 0.000, 19.877, 0.000, 0.060, 10.741, 0.000, 
8, 1, 0, 2.785, 12.814, 4.328, 25.699, 3.847, 22.212, 20.638, 0.000, 20.118, 0.000, 0.060, 10.780, 0.000, 
8, 1, 0, 2.895, 11.892, 4.088, 24.737, 4.188, 22.282, 20.318, 0.000, 20.518, 0.000, 0.060, 10.900, 0.000, 
8, 1, 0, 2.735, 12.123, 4.198, 25.017, 3.848, 22.242, 20.439, 0.000, 20.078, 0.000, 0.060, 11.021, 0.000, 
8, 1, 0, 2.986, 12.834, 4.278, 24.987, 4.018, 22.252, 20.759, 0.000, 19.997, 0.000, 0.080, 10.660, 0.000, 
8, 1, 0, 2.775, 12.233, 4.368, 24.687, 4.017, 22.392, 19.998, 0.000, 20.359, 0.000, 0.061, 10.580, 0.000, 
8, 1, 0, 2.766, 11.722, 4.268, 24.716, 4.028, 22.002, 20.519, 0.000, 20.478, 0.000, 0.080, 10.820, 0.000, 
8, 1, 0, 2.665, 12.023, 4.207, 25.167, 3.837, 22.382, 20.439, 0.000, 20.279, 0.000, 0.061, 11.261, 0.000, 
8, 1, 0, 2.955, 11.432, 4.228, 25.187, 3.787, 22.362, 20.238, 0.000, 20.198, 0.000, 0.060, 11.221, 0.000, 
8, 1, 0, 2.685, 12.113, 4.388, 24.767, 6.622, 22.282, 20.880, 0.000, 20.078, 0.000, 0.060, 10.860, 0.000, 
9, 1, 0, 3.056, 13.796, 4.278, 26.951, 3.867, 24.195, 22.042, 0.000, 21.440, 0.000, 0.211, 10.940, 0.000, 
9, 1, 0, 3.536, 14.798, 4.358, 26.630, 4.028, 24.025, 21.801, 0.000, 21.882, 0.000, 0.070, 10.900, 0.000, 
9, 1, 0, 3.056, 13.746, 11.662, 33.663, 3.777, 23.695, 22.002, 0.000, 21.681, 0.000, 0.070, 10.941, 0.000, 
9, 1, 0, 2.955, 13.957, 12.052, 34.404, 3.857, 24.035, 22.122, 0.000, 21.561, 0.000, 0.070, 10.941, 0.000, 
9, 1, 0, 3.066, 13.425, 11.842, 33.954, 4.118, 24.286, 22.122, 0.000, 21.520, 0.000, 0.080, 10.700, 0.000, 
9, 1, 0, 3.026, 13.124, 4.238, 26.280, 3.977, 24.095, 21.801, 0.000, 21.681, 0.000, 0.060, 11.101, 0.000, 
9, 1, 0, 3.286, 13.536, 11.581, 33.743, 4.028, 24.015, 22.001, 0.000, 21.600, 0.000, 0.070, 10.900, 0.000, 
9, 1, 0, 3.115, 13.596, 11.692, 34.074, 4.178, 23.945, 21.801, 0.000, 21.761, 0.000, 0.060, 11.141, 0.000, 
9, 1, 0, 3.116, 13.545, 12.073, 34.265, 3.927, 24.005, 21.681, 0.000, 21.881, 0.000, 0.060, 10.781, 0.000, 
9, 1, 0, 3.026, 13.255, 12.954, 35.677, 3.917, 23.865, 21.881, 0.000, 21.801, 0.000, 0.060, 11.060, 0.000, 
10, 1, 0, 3.236, 15.599, 10.089, 34.394, 3.898, 25.709, 23.645, 0.000, 23.364, 0.000, 0.070, 10.580, 0.000, 
10, 1, 0, 5.110, 20.649, 19.186, 54.593, 9.197, 31.289, 23.444, 0.000, 23.605, 0.000, 0.161, 11.021, 0.000, 
10, 1, 0, 3.777, 15.128, 4.298, 28.434, 3.927, 25.618, 23.805, 0.000, 23.685, 0.000, 0.060, 11.181, 0.000, 
10, 1, 0, 3.527, 14.136, 11.872, 36.007, 3.807, 25.789, 23.525, 0.000, 23.444, 0.000, 0.060, 11.221, 0.000, 
10, 1, 0, 3.256, 14.297, 4.268, 28.384, 3.767, 25.818, 23.565, 0.000, 23.444, 0.000, 0.060, 10.860, 0.000, 
10, 1, 0, 3.316, 14.327, 10.650, 34.555, 3.707, 25.589, 23.364, 0.000, 23.363, 0.000, 0.060, 10.941, 0.000, 
10, 1, 0, 3.346, 14.427, 12.153, 35.748, 3.977, 25.808, 23.805, 0.000, 23.404, 0.000, 0.060, 11.101, 0.000, 
10, 1, 0, 3.567, 14.066, 10.670, 35.427, 3.797, 25.678, 23.484, 0.000, 23.524, 0.000, 0.080, 10.941, 0.000, 
10, 1, 0, 3.106, 16.611, 9.007, 33.413, 3.878, 25.969, 23.644, 0.000, 23.323, 0.000, 0.060, 10.780, 0.000, 
10, 1, 0, 3.306, 14.026, 10.861, 35.046, 3.838, 25.959, 23.805, 0.000, 23.725, 0.000, 0.110, 11.060, 0.000, 
11, 1, 0, 3.727, 18.285, 9.127, 34.555, 4.077, 27.531, 25.167, 0.000, 24.807, 0.000, 0.060, 10.900, 0.000, 
