length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, upload_device_time, blockingKernelTimeoutDetected, 
1, 4, 0, 7.755, 15.040, 8.161, 14.773, 5.191, 11.757, 7.200, 1.000, 6.208, 1.000, 7.706, 9.952, 1.000, 
1, 4, 0, 7.242, 12.810, 8.630, 14.951, 5.253, 11.271, 7.040, 1.000, 6.112, 1.000, 5.894, 1.856, 1.000, 
1, 4, 0, 6.607, 11.946, 7.468, 13.839, 5.762, 12.769, 8.864, 1.000, 5.984, 0.000, 5.572, 1.824, 1.000, 
1, 4, 0, 6.632, 12.114, 7.964, 14.599, 5.006, 11.496, 8.480, 1.000, 6.336, 0.000, 6.016, 1.824, 1.000, 
1, 4, 0, 6.686, 11.101, 7.578, 14.795, 5.243, 10.956, 8.544, 1.000, 5.952, 1.000, 5.620, 1.568, 1.000, 
1, 4, 0, 6.502, 11.039, 8.406, 14.992, 4.938, 11.118, 8.640, 1.000, 5.728, 1.000, 6.059, 2.272, 1.000, 
1, 4, 0, 6.399, 11.002, 7.448, 13.628, 5.005, 12.830, 7.648, 1.000, 5.600, 0.000, 5.623, 1.536, 1.000, 
1, 4, 0, 6.445, 10.511, 7.723, 14.709, 4.706, 11.064, 6.528, 1.000, 5.696, 1.000, 5.924, 1.536, 1.000, 
1, 4, 0, 6.417, 10.587, 8.054, 14.448, 4.778, 10.810, 7.040, 1.000, 5.536, 1.000, 5.515, 1.536, 1.000, 
1, 4, 0, 6.549, 10.524, 7.327, 14.278, 5.177, 12.988, 8.480, 1.000, 5.952, 0.000, 5.453, 1.536, 1.000, 
2, 4, 0, 9.532, 21.347, 8.113, 16.637, 5.612, 13.139, 10.720, 1.000, 7.584, 0.000, 6.831, 1.984, 1.000, 
2, 4, 0, 9.259, 16.972, 9.325, 16.679, 5.006, 12.320, 8.608, 1.000, 7.840, 0.000, 7.230, 1.792, 1.000, 
2, 4, 0, 9.333, 33.304, 8.747, 16.596, 5.113, 12.757, 9.120, 1.000, 7.200, 0.000, 7.709, 1.824, 1.000, 
2, 4, 0, 9.150, 14.006, 9.571, 16.411, 4.796, 12.331, 10.464, 1.000, 6.720, 0.000, 6.708, 2.048, 1.000, 
2, 4, 0, 25.855, 20.045, 8.893, 16.819, 4.939, 12.618, 8.544, 0.000, 6.880, 0.000, 7.913, 1.792, 1.000, 
2, 4, 0, 9.764, 14.748, 9.592, 16.728, 5.267, 12.447, 8.640, 1.000, 6.848, 0.000, 7.231, 1.632, 1.000, 
2, 4, 0, 9.611, 15.048, 8.620, 17.077, 6.201, 13.348, 8.640, 1.000, 7.232, 1.000, 6.735, 1.536, 1.000, 
2, 4, 0, 9.751, 14.657, 9.709, 17.686, 5.018, 12.539, 10.880, 1.000, 7.328, 0.000, 7.422, 1.568, 1.000, 
2, 4, 0, 9.643, 14.858, 8.786, 16.379, 5.088, 12.672, 8.544, 1.000, 7.424, 0.000, 6.389, 13.024, 1.000, 
2, 4, 0, 9.186, 14.241, 9.344, 16.627, 4.928, 12.401, 10.592, 1.000, 6.816, 0.000, 6.950, 1.600, 1.000, 
3, 4, 0, 11.567, 23.462, 10.113, 18.679, 5.275, 13.729, 11.552, 1.000, 8.032, 0.000, 7.609, 1.664, 1.000, 
3, 4, 0, 11.578, 17.298, 9.014, 18.682, 5.042, 13.582, 10.624, 0.000, 8.544, 0.000, 8.083, 1.792, 1.000, 
3, 4, 0, 11.963, 17.704, 9.031, 17.910, 4.881, 13.320, 11.712, 0.000, 8.192, 0.000, 9.331, 1.856, 1.000, 
3, 4, 0, 11.370, 21.666, 10.254, 19.480, 4.951, 13.733, 11.008, 0.000, 8.640, 0.000, 8.233, 1.664, 1.000, 
3, 4, 0, 11.434, 17.374, 9.722, 18.489, 4.819, 13.547, 11.168, 0.000, 8.736, 0.000, 7.743, 1.664, 1.000, 
3, 4, 0, 11.379, 36.156, 10.643, 19.076, 7.849, 16.450, 11.200, 0.000, 8.416, 0.000, 8.419, 1.824, 1.000, 
3, 4, 0, 11.604, 17.165, 10.883, 18.383, 5.118, 13.779, 10.880, 0.000, 8.256, 0.000, 7.378, 1.760, 1.000, 
3, 4, 0, 11.491, 17.011, 10.847, 18.598, 4.922, 13.501, 10.752, 0.000, 8.032, 0.000, 7.527, 1.536, 1.000, 
3, 4, 0, 11.429, 17.209, 9.101, 18.473, 5.558, 13.825, 10.496, 1.000, 7.872, 0.000, 8.483, 1.568, 1.000, 
3, 4, 0, 11.531, 16.692, 9.431, 19.102, 4.883, 13.393, 11.136, 1.000, 8.128, 0.000, 9.102, 1.536, 1.000, 
4, 4, 0, 14.775, 28.148, 11.135, 22.677, 5.105, 15.348, 13.312, 1.000, 10.176, 0.000, 9.309, 1.536, 1.000, 
4, 4, 0, 14.778, 21.455, 11.224, 21.356, 5.124, 15.480, 13.152, 0.000, 9.888, 0.000, 8.943, 2.080, 1.000, 
4, 4, 0, 14.746, 28.000, 10.678, 21.409, 5.712, 15.063, 12.928, 0.000, 9.408, 0.000, 9.462, 1.536, 1.000, 
4, 4, 0, 14.438, 20.906, 10.812, 21.321, 5.134, 14.594, 12.736, 0.000, 9.632, 0.000, 7.904, 1.792, 1.000, 
4, 4, 0, 14.126, 19.970, 11.323, 20.684, 4.870, 15.009, 12.672, 0.000, 10.176, 0.000, 8.301, 1.536, 1.000, 
4, 4, 0, 13.726, 19.669, 10.420, 20.722, 5.130, 15.756, 12.576, 0.000, 9.568, 0.000, 8.098, 1.760, 1.000, 
4, 4, 0, 13.843, 20.036, 10.279, 21.024, 4.652, 14.706, 12.480, 0.000, 9.440, 0.000, 9.464, 1.696, 1.000, 
4, 4, 0, 13.924, 19.504, 10.334, 20.665, 4.933, 15.048, 13.344, 0.000, 10.336, 0.000, 8.958, 1.760, 1.000, 
4, 4, 0, 13.587, 38.562, 9.572, 20.222, 4.730, 15.045, 13.280, 0.000, 9.888, 0.000, 9.297, 1.536, 1.000, 
4, 4, 0, 13.862, 19.454, 10.466, 20.789, 5.026, 14.341, 12.992, 0.000, 9.536, 0.000, 9.064, 1.536, 1.000, 
5, 4, 0, 16.040, 26.689, 11.952, 22.873, 4.917, 17.060, 14.432, 0.000, 11.008, 0.000, 9.830, 1.760, 1.000, 
5, 4, 0, 15.654, 27.252, 11.866, 23.796, 4.749, 15.958, 14.144, 0.000, 11.008, 0.000, 9.776, 1.888, 1.000, 
5, 4, 0, 16.122, 23.268, 11.542, 23.231, 5.537, 17.228, 14.176, 0.000, 11.072, 0.000, 10.738, 1.664, 1.000, 
5, 4, 0, 16.490, 23.132, 11.326, 23.395, 5.744, 17.020, 14.112, 0.000, 11.008, 0.000, 9.275, 1.568, 1.000, 
5, 4, 0, 16.185, 23.447, 11.550, 22.680, 4.999, 16.526, 14.656, 0.000, 11.264, 0.000, 10.175, 1.664, 1.000, 
5, 4, 0, 16.002, 23.129, 11.383, 23.018, 5.213, 16.873, 14.848, 0.000, 11.328, 0.000, 10.587, 1.536, 1.000, 
5, 4, 0, 16.103, 23.202, 13.853, 25.886, 5.396, 16.461, 14.816, 0.000, 11.008, 0.000, 9.947, 1.536, 1.000, 
5, 4, 0, 16.111, 22.762, 12.848, 23.491, 4.973, 16.293, 14.464, 0.000, 11.520, 0.000, 9.476, 1.536, 1.000, 
5, 4, 0, 16.069, 22.835, 12.320, 23.180, 5.039, 16.129, 14.592, 0.000, 11.072, 0.000, 9.525, 1.568, 1.000, 
5, 4, 0, 16.100, 22.426, 11.176, 22.888, 5.331, 16.640, 14.240, 0.000, 10.752, 0.000, 9.671, 1.568, 1.000, 
