length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, upload_device_time, blockingKernelTimeoutDetected, 
1, 1, 0, 3.308, 7.901, 3.449, 7.019, 2.331, 5.964, 3.104, 0.000, 2.976, 0.000, 3.318, 4.640, 1.000, 
1, 1, 0, 2.510, 4.869, 3.548, 7.261, 2.316, 5.852, 3.008, 0.000, 2.944, 0.000, 2.477, 4.608, 0.000, 
1, 1, 0, 2.408, 4.771, 2.859, 6.554, 1.912, 5.511, 3.008, 0.000, 3.168, 0.000, 2.347, 4.608, 0.000, 
1, 1, 0, 2.237, 4.988, 2.769, 7.034, 1.875, 5.498, 3.040, 0.000, 2.944, 0.000, 2.299, 4.608, 0.000, 
1, 1, 0, 2.196, 4.474, 3.309, 7.189, 1.751, 5.391, 3.168, 0.000, 3.008, 0.000, 2.250, 4.640, 0.000, 
1, 1, 0, 2.157, 4.539, 2.717, 6.379, 1.710, 5.288, 3.008, 0.000, 2.944, 0.000, 2.331, 4.736, 0.000, 
1, 1, 0, 2.145, 4.433, 2.750, 6.421, 1.704, 5.296, 3.264, 0.000, 2.944, 0.000, 2.697, 4.704, 0.000, 
1, 1, 0, 2.202, 4.440, 3.117, 7.566, 1.771, 5.352, 3.008, 0.000, 2.912, 0.000, 2.195, 4.640, 0.000, 
1, 1, 0, 2.217, 4.421, 2.755, 6.437, 2.013, 5.826, 3.136, 0.000, 2.944, 0.000, 2.309, 4.736, 0.000, 
1, 1, 0, 2.193, 4.435, 2.720, 6.399, 1.738, 5.316, 3.008, 0.000, 2.944, 0.000, 2.192, 4.576, 0.000, 
2, 1, 0, 3.503, 10.017, 3.497, 8.603, 2.188, 6.584, 4.000, 0.000, 3.648, 0.000, 3.038, 4.896, 0.000, 
2, 1, 0, 3.150, 5.686, 3.493, 8.943, 2.168, 6.412, 4.032, 0.000, 3.616, 0.000, 3.108, 5.600, 1.000, 
2, 1, 0, 3.148, 5.767, 2.959, 7.744, 2.477, 6.968, 4.032, 0.000, 3.648, 0.000, 2.366, 5.248, 0.000, 
2, 1, 0, 2.857, 5.828, 3.195, 8.538, 2.058, 6.354, 4.032, 0.000, 3.680, 0.000, 2.406, 5.312, 0.000, 
2, 1, 0, 2.808, 5.446, 3.199, 7.865, 2.122, 6.425, 4.096, 0.000, 3.648, 0.000, 2.458, 4.896, 0.000, 
2, 1, 0, 2.840, 5.648, 3.070, 8.355, 2.152, 6.592, 4.224, 0.000, 3.648, 0.000, 2.500, 5.056, 0.000, 
2, 1, 0, 2.832, 5.645, 3.433, 8.135, 1.966, 6.391, 4.096, 0.000, 3.616, 0.000, 2.358, 4.768, 0.000, 
2, 1, 0, 2.800, 5.775, 3.430, 8.871, 2.010, 6.438, 4.032, 0.000, 3.648, 0.000, 3.136, 4.800, 0.000, 
2, 1, 0, 3.143, 5.868, 3.460, 8.324, 2.039, 6.524, 4.128, 0.000, 3.648, 0.000, 3.139, 4.992, 0.000, 
2, 1, 0, 2.884, 5.445, 3.205, 8.455, 2.446, 7.258, 4.000, 0.000, 3.648, 0.000, 2.935, 4.800, 0.000, 
3, 1, 0, 3.421, 7.037, 3.691, 9.374, 2.083, 7.497, 5.120, 0.000, 4.544, 0.000, 3.096, 5.152, 0.000, 
3, 1, 0, 3.442, 11.040, 3.593, 9.913, 2.153, 7.356, 4.992, 0.000, 4.544, 0.000, 3.281, 5.440, 0.000, 
3, 1, 0, 3.527, 6.272, 3.287, 9.511, 2.462, 7.684, 4.992, 0.000, 4.544, 0.000, 3.493, 5.344, 0.000, 
3, 1, 0, 3.363, 6.087, 3.925, 10.262, 2.423, 7.508, 5.024, 0.000, 4.576, 0.000, 3.168, 5.600, 0.000, 
3, 1, 0, 3.419, 6.057, 3.053, 8.721, 2.024, 7.245, 5.120, 0.000, 4.384, 0.000, 2.986, 5.664, 0.000, 
3, 1, 0, 3.342, 6.072, 3.504, 9.720, 2.045, 7.216, 5.056, 0.000, 4.384, 0.000, 3.142, 5.280, 0.000, 
3, 1, 0, 3.450, 6.281, 3.503, 10.336, 2.248, 7.500, 5.056, 0.000, 4.384, 0.000, 3.010, 5.600, 0.000, 
3, 1, 0, 3.358, 6.093, 3.118, 9.302, 2.496, 7.557, 5.120, 0.000, 4.416, 0.000, 2.779, 5.312, 0.000, 
