length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
1, 1, 0, 1.476, 19.309, 6.312, 16.817, 3.752, 13.355, 10.058, 0.000, 8.804, 0.000, 0.122, 11.413, 0.300, 
2, 1, 0, 1.769, 13.360, 3.691, 17.126, 3.378, 13.874, 11.806, 0.000, 11.052, 0.000, 0.104, 11.794, 0.000, 
3, 1, 0, 2.548, 12.864, 4.558, 17.623, 3.314, 24.264, 12.155, 0.000, 12.323, 0.000, 0.123, 11.289, 0.000, 
4, 1, 0, 2.821, 11.965, 4.078, 19.513, 3.806, 17.103, 15.398, 0.000, 14.412, 0.000, 0.090, 12.139, 0.000, 
5, 1, 0, 2.358, 11.298, 3.993, 20.771, 3.632, 17.639, 15.586, 0.000, 15.174, 0.000, 0.069, 11.100, 0.000, 
6, 1, 0, 2.702, 19.320, 4.050, 23.528, 3.725, 20.967, 18.773, 0.000, 18.352, 0.000, 0.185, 12.095, 0.000, 
7, 1, 0, 2.810, 16.207, 5.178, 25.684, 4.008, 21.771, 20.337, 0.100, 18.821, 0.000, 0.107, 12.916, 0.000, 
8, 1, 0, 3.437, 13.926, 4.577, 26.268, 4.380, 24.323, 21.728, 0.000, 26.025, 0.000, 0.101, 11.565, 0.000, 
9, 1, 0, 3.385, 14.415, 7.939, 30.848, 4.050, 25.135, 22.470, 0.000, 22.385, 0.000, 0.066, 11.950, 0.000, 
10, 1, 0, 3.475, 25.212, 7.711, 35.679, 5.592, 28.175, 24.045, 0.000, 25.949, 0.000, 0.069, 11.738, 0.000, 

